name,price,minimum_nights,availability_365
Water Front Building - Bright/Luxury 1 BR,120,5,0
Cozy Room in the Heart of Williamsburg,60,2,0
FourTwin bunkbeds- 5 minutes from JFK,90,1,84
"Luxury, Zen 1BR in N Williamsburg",109,2,0
Cozy Room in the Heart of NYC,70,1,3
Over-sized studio in UnionSquare/EastVillage!,145,3,7
Must Love Dogs and Tribeca NYC,200,1,0
East Village Artsy ONE-BEDROOOM ENTIRE APT,225,4,0
Studio with Private Terrace on Central Park West,200,30,0
Douglaston (apt 2) Room 3,40,1,252
LAVISHING COMFORT  IN BROOKLYN BROWNSTONE NYC,75,3,365
"Single Cabins (Chelsea, Manhattan, NYC)",85,1,292
Bright Classic DUMBO Loft,145,2,0
Entire 1 bed Apt by Central/Morningside Park,150,1,2
Entire Apartment in Brooklyn Brownstone,100,2,0
Luxury Apt - 10 mins to Midtown and Williamsburg,100,4,0
Sleek and Modern Brooklyn Apartment,42,2,0
Adorable Upper East Side 1br,299,2,0
Cozy Private Room with Patio in Bed-Stuy!,50,5,12
East 63rd street 1bd Serviced Apartment,200,30,364
Cozy Brownstone Apartment in South Harlem,105,30,195
"Beautiful Room in Bushwick, Bk. (Hablo Español)",60,30,141
Large One Bedroom in NYC Brownstone,175,3,1
Oasis: Cozy Comfy,114,2,283
"Popular Place, Brooklyn",62,2,0
Elegant Studio,160,4,327
Private Bedroom in Heart of Williamsburg,184,2,0
Times Square Holiday Rental Loft!,299,2,188
Gorgeous Apartment in Literally Perfect Location,103,1,0
UES 1BR Oasis,225,2,0
Rod,750,4,0
"Fun, Stylish, 3 Bedroom Pad 20 Mins to Midtown",249,3,0
Cozy  New Yorkers home away from home,75,2,151
Large One Bedroom Apartment near Grand Central,175,2,0
Trendy and Comfortable Brooklyn Abode,58,2,88
"Gorgeous, bright one-bed in amazing location",250,5,0
Clean & Cozy Downtown Manhattan Studio,110,5,0
A walk away from the best in Williamsburg,150,3,0
BRIGHT SUNNY LOFT,60,3,0
Diamond Peach,65,3,305
Bronx room near mall,60,3,90
Private Crown Heights Brooklyn/Sterling 2/5 Trains,80,1,0
Room in Brownstone (Now Available),25,1,34
Brooklyn's Finest 1BR APT in BedStuy/Clinton Hill,150,3,0
Sunny and cozy Upper West Side Apartment,170,3,0
"Cozy, Private Guest Suite Near JFK, LGA & NYC",70,1,225
Authentic Brklyn Experience - Room A,65,4,37
Classy Modern 2 Beds for 2 People-Staten Island NY,55,2,355
Beautiful Prime Soho/Nolita 2-Bed Apartment,550,4,295
.,215,2,0
Quaint Retreat live like a local 2,90,3,253
LOLA'S NEST-One Bedroom apt-8 mins from NY JFK,110,1,170
Warm & Cozy,30,3,0
Newly Renovated/Historic-Landmarked Brownstone!,95,1,41
Provincial welcomes the new in revitalized Bklyn,35,1,52
"20 minutes from Manhattan,separated big bedroom.",70,1,93
Beautiful apartment direct in Midtown Manhattan,150,3,24
Modern Industrial Williamsburg 1br Apt on Bedford,80,2,12
Large Center Manhattan Studio,160,1,0
Carroll Gardens getaway,90,6,0
Heart of Brooklyn Heights,196,1,96
Private Room in Industrial Apartment w/ rooftop!,62,1,0
*AMAZING AND COZY SPACE 2 MIN FROM THE SUBWAY,36,2,326
"Perfect Studio, Great location!",143,2,0
"Great Studio apt, great location in Hells Kitchen!",120,2,0
NYC Modern Luxury Apartment 15 Mins to Wall Str.,129,3,12
Private Bushwick Room in Great Location!,32,1,0
Airy Ridgewood Brownstone,48,2,231
Grand Central Gem,150,2,26
Cozy quirky 1 bed apartment in Tribeca/Soho,250,2,0
LES / Lower East Side | large room with 2 windows,70,2,0
Bedroom with terrace in the heart of Clinton Hill,100,21,89
"Sunny, peaceful room in Ridgewood/Bushwick",40,30,0
Chinatown Abode,110,2,15
UES Modern Style 1 Bedroom Near 2 Ave Subway Line,200,2,158
"Spacious, Cozy & Quiet Chelsea Designer Apartment",250,2,253
Cozy bedroom in Williamsburg apartment home!,60,2,0
Small Private Room in Big & Cozy apartment,60,2,0
GSG Inn - A totally private historic landmark inn,125,1,319
"Cozy Gated Studio Apartment, 25 min to Manhattan",85,1,46
Williamsburg high ceiling loft,140,3,0
Walk to City College & Columbia. Cheery/Clean,67,1,160
Peace of mind,50,1,0
Manhattan Club - New Years Eve,300,3,0
Amazing Location! Apartment in South Williamsburg,75,2,307
Cozy townhouse with an amazing back yard,140,3,230
Entire floor in Brooklyn Townhouse w/large patio,165,3,10
West Village Bedroom in duplex apartment,100,2,0
Williamsburg 1 Bedroom Apartment - 2L,100,30,332
G4Newly Renovat Long Island City Room Private Bath,55,1,285
1 Bedroom apt in the heart of Williamsburg - 2R,100,30,323
"Organic pre-war 1BR Astoria, near MRNW trains",108,4,0
Comfortable Couch in a Great Location! Bushwick.,42,2,365
Room in Big Apartment Available in Flatbush,39,7,0
Sunny Private Couples  Studio,100,7,189
BEST of Bushwick Brooklyn / Subway 1 blk/NYC 15min,95,2,34
Beautiful Renovated Studio in the City!,140,2,29
"Charming one-bedroom in Greenpoint, Brooklyn",110,6,0
Modern Cozy & Clean Private 3 Bedroom Mins to NYC,300,4,221
Quaint Studio Space,70,1,64
露西套房(Lucy Apt.),85,1,171
2 bedroom third floor in the heart of Brooklyn.,55,2,5
Midtown Manhattan Oasis (2-Bedroom Vacation Suite),949,2,8
Sunny master suite with huge balcony for BBQ,120,2,0
"Spacious, quiet loft close to EVERYTHING! Views!",45,7,0
Long Island City Living,125,3,83
"** SoHo: Clean, Bright, Tatami Room",80,3,0
"【South Facing 1b1b Luxury,5th ave&time square】",300,2,0
"Cozy Quiet Clean 1BR APT in Hudson Heights, NYC!",99,2,0
DaDukes Marvel,71,1,360
Clean & quiet home on quiet block,95,2,4
Stylish 1 BD - 10 min to Manhattan & Central Park,123,1,126
Cozy Brooklyn Oasis 2,80,2,248
Refurbished Private & Pretty Apartment Near City,95,2,168
Bright and cozy studio apartment,110,2,0
"Luxury Apt, Balcony, Rooftop - 20min Central Park",90,6,0
"Cozy, quiet one bedroom in the heart of Bedstuy!",100,3,0
Great affordable room 2,75,1,56
Crown Heights Newly Renovated 3 Bedroom Apartment,150,2,66
Gorgeous East Village Luxury Apt,400,30,119
"Private comfortable bedroom in Bay Ridge, Brooklyn",55,7,0
2 Big bedrooms apartment in Brooklyn,120,5,0
True New Yorker Experience in West Village,165,3,0
"Spacious, sunny apartment near Prospect Park",150,2,0
*NEWLY RENOVATED PRIVATE ROOM*,58,6,257
AMAZING PRE-WAR 2 BR APT IN WILLIAMSBURG,150,10,160
Cozy apt in Park Slope (room and private bathroom),60,3,6
Luxury Williamsburg Loft. Two blocks from Subway!,250,30,0
"UWS Jewel, oval living room in a charming hometown",315,4,7
Cozy & Tidy Private Room at Upper West Manhattan,75,3,0
ENTIRE Apt in Williamsburg < 1 block to L train,125,4,11
JFK Comfort.5 Mins from JFK Private Bedroom & Bath,80,1,26
Charming Prvt Rm  Students/Travelers 8 min to SIUH,32,4,315
Cute studio in Ditmas Park,32,1,0
"Sunny, Peaceful Room in Southern Harlem",80,3,39
Stylish and Spacious with Convenient location,69,1,28
Large 1 Bedroom Apt - Amazing Location SoHo/Nolita,200,5,1
Summer Savings! Central Park 1BR/1Bath/UWS,350,1,80
Alluring Private Bedroom in Spacious UWS Apt,150,2,63
Cozy bedroom in Crown Heights Duplex,50,2,174
"Clean, cozy and bright room 4 mins from subway!",48,45,0
Private room in a cozy apartment,49,1,0
"Midtown-Luxury-Safe! 
Nearby UN, NYU & Bellevue.",150,3,14
Large 1 Bedroom Apt in Times Square sleeps 4ppl,230,2,120
QUEEN ROOM IN 1500 SQ FT WBURG BALLROOM APT,90,4,117
Haute Brand New East Village Manhattan Apartment,75,14,27
"Modern, clean, NEW apt 1 block from train!",89,1,74
Bright and cozy 2bs 2bths near JFK and the city,150,4,51
Excellent Find in Fort Greene,200,2,0
Cozy private room in Astoria,65,2,60
Franklin Ave Stay,94,1,0
Modern Bedstuy brownstone 2 bedroom apartment,95,7,0
Sunny Yellow BUSHWICK apt 25min to city SLEEPS 6 !,159,2,352
Architect's duplex Apt in Historic Brooklyn,150,4,0
Cozy Red BUSHWICK  Apt 25 min to city SLEEPS 6 !!,159,2,357
Cozy Washington Heights Home,80,2,0
Gorgeous Apartment in Nolita for 4 Guests!!!,190,31,61
"Large,Bright & fully Furnished room in a 3 bdm Apt",70,4,0
"Best in Brooklyn, closest to Manhattan!!",59,7,0
Gorgeous Loft in Nolita with Elevator and Balcony!,190,30,328
Private 2 Bdrm in Heart of BedStuy (HUGE BACKYARD),200,3,0
"Private bedroom 10 min to LGA, 15 min to Manhattan",69,1,349
1 Bedroom in Williamsburg,70,1,0
Charming 1 Bedroom in the heart of New York City,170,3,0
"Really Spectacular 1 Bedroom, Great Design",133,30,4
Cozy & Spacious Room in E. Williamsburg.(with AC),60,1,0
Seasonal Exposed Brick Private Bedroom !!!,50,2,4
"Great location,near nyc airports,subway &airtrain",90,2,283
2 bedroom floor-thru in heart of Park Slope -,235,5,219
Large apartment in a doorman building on the UES,59,1,0
Spacious & Bright Brooklyn Apartment,100,2,1
Large Skylight Private Room,51,1,175
"Charming, cozy, clean, affordable & spacious room",65,2,364
Williamsburg house - Master Bedroom,95,3,0
Habitacion Privada,50,7,363
Shareroom in Midtown Manhattan 1or2 beds Available,68,3,0
Cheery Bedroom in Brooklyn Apartment,35,3,0
A peaceful place in the heart of Inwood,110,4,19
"Bright, Spacious Private Room in Williamsburg!",70,1,0
Beautiful and spacious room next to Subway station,65,2,310
"Fabulous, Spacious Studio by CP. An Artful Retreat",145,3,110
Private Room on Ground Floor close to Everything,125,2,95
Charming Park Slope Brownstone,250,1,2
Quaint and Large midtown 1Bed next to Empire state,275,2,66
Cozy Bedroom,31,7,0
Quiet Private First Floor Room with Self Check in,125,2,74
"Comfy, spacious room- Astoria.",55,3,0
Cozy room for travelers,32,1,0
"Peaceful space, 5 minutes from Barclays Center!",65,1,0
"Bright, large room with own 1/2 bath in great area",75,3,66
"STEPS TO LGA, Near CITIFIELD, JFK MANHATTAN(RM 3)",65,1,336
Cozy Apartment in Brooklyn,84,2,224
Beautiful room in spacious apartment in Manhattan,90,1,0
Spacious Apartment in Park Slope with Garden,150,2,0
Charming Apartment by Central Park & Museum Mile.,185,1,65
Quiet Room in Brooklyn Apt - Animal Friendly!,47,5,0
Central Park and Museum mile Private room 105th 2.,85,1,0
Cute Astoria bedroom - close to midtown Manhattan,60,1,0
2 bed 1 Bath Washer Dryer huge terrace,200,31,325
Full Service  Pool 1 bed Huge Terrace washer dryer,160,31,324
Seasonal Beautiful Exposed Brick Brownstone,50,2,10
Sun Drenched Williamsburg 1 BR | Prime Location,107,4,9
Amazing Room in East Village Apartment!,120,2,0
Beautiful Brooklyn 1 bedroom apartment,150,2,48
Bushwick Oasis,65,2,249
"Large & cozy room for holidays/New year in BK,NYC",40,7,0
HUGE bedroom available in artsy Bushwick,52,1,0
Spacious & Stylish 3BR Condo Steps to the Subway!,358,3,182
Sunny Penthouse by Waterfront Park and Subway!!,219,2,257
"Your private home in Manhattan, Upper Eastside.",130,4,8
Entire NYC Apt Open Bight Clean Spacious,157,30,0
Sunlit room in Financial District luxury apartment,100,11,0
"Private Peaceful room in Flushing/Auburndale, NY",48,1,39
"STEPS TO LGA, near CITIFIELD, JFK MANHATTAN(RM #2)",60,1,351
Renovated 1 Bedroom Apartment in Williamsburg - 3R,100,30,233
Cozy and Colorful Room next the Dekalb L Stop,45,7,0
It's a Beautiful Day in Bed-Stuy!,48,1,235
Chic Midtown Apt w/ Empire State Building Views,375,3,0
Private Room Loft w/Outdoor Patio in Williamsburg,125,3,2
Quaint & Quiet UWS,118,1,0
Broadway Studio,116,3,0
In Historic Harlem near the Hudson River!,55,11,95
佳源家庭旅馆,55,1,78
佳源家庭旅馆套房,85,1,85
ASTORIA Beautiful Room in Fully Renovated Apt,47,1,0
Room on st marks place (women only),80,1,97
2 Bedroom Private Space Near Subway,40,2,44
Gorgeous 1 bedroom with deck in Williamsburg,102,3,0
Spacious 1 bedroom Apartment w/ 2 beds,75,3,148
Cozy Private Room with Terrace in Williamsburg,69,2,0
AMAZING ROOM IN MANHATTAN,59,1,0
Marriott Vacation Club Pulse King hotel,489,2,311
Cute and Comfortable Bedroom in Gowanus,70,1,29
East Village - little hideaway in epic apartment!,90,4,0
Only 25 min to Times Square,35,4,2
Spacious Master Bedroom Exposed Brick in Harlem,50,1,0
"Spacious, sun soaked 1-br in Prospect Heights!",100,5,0
Lenox Suit Hotel Themed Studio,80,1,47
Brooklyn apartment w/ exposed brick,120,1,0
The Cozy Bushwick Modern (Room B),75,1,0
It's Always Sunny in Bed-Stuy!,48,1,243
"Cozy private room Astoria 10min to LGA, Manhattan",40,1,343
*Beautiful 2BR*Flatiron*Best Location*Near Subway*,379,4,238
Room in house with WIFI and Netflix,50,2,283
Spacious 1BD on west 48th street and 5th Ave,210,29,340
Private bedroom W/ ENSUITE bathroom,120,2,0
Cozy Light-Filled Prospect Heights Apartment,62,1,63
Spacious Bedroom + Office in Bed-Stuy Brownstone,45,5,0
"Private Room in 19th Century Townhome, Mott Haven",54,1,0
HOME SWEET HOME,75,3,83
Spacious 1.5 Bed Duplex With Private Backyard,66,2,44
Bedroom in charming apartment in Bushwick,44,2,0
Bushwick Private entrance Duplex apt skyline view,65,1,52
Beautiful & large room in Clinton Hill /Ft Greene,70,3,189
Large Alcove Studio in Prime Noho Building,249,10,0
Modern 3BR/2Bath Home 10 mins From JFK,128,1,164
Cute one-bedroom apartment with exposed brick,128,2,0
A large private pink room in Brooklyn,50,2,0
1 Bedroom apartment,150,4,0
Bedroom (double bed) in a 5BR Apartment,75,3,0
Private Room In Bushwick Late December - January,60,3,0
Private room in lively East Village rooftop duplex,80,2,0
Cozy in NYC. 10 mins to LGA /15 to Manhattan,40,1,332
2 BR/1 Ba Apartment Hamilton Heights,60,15,0
"Spacious, 1 bedroom apartment, beautiful views",125,2,0
Cozy Gramercy Park 1 bedroom,75,3,0
Small Guestroom 30 mins to Downtown Manhattan,30,3,176
Quiet Upper West Side Brownstone Oasis,199,5,12
Cosy warm room in Bay ridge apartment,100,1,179
Downtown Loft with Private Roof Deck,385,4,89
"Hip, Cozy Room in Inwood",47,2,0
Your Private Sunny Studio Apt in Crown Heights,70,3,0
Bed-Stuy Apt for Groups,265,4,309
Bright & Inspiring Experience,60,1,88
Amazing male room next to the river for longtermII,33,100,308
Unbelievable male room Manhattan for lngterm! III,29,100,341
Cozy & Inspiring Experience,60,1,81
Cozy Manhattan male room for a long term IV,33,100,201
"Sunny, Spacious Pad In Unbeatable Wburg Location",219,3,0
Studio Suite in Shared Space,80,2,65
Sun-filled Boho Apartment in the Heart of Astoria,150,3,0
Charming Bedroom in Downtown Manhattan,80,5,0
Beautiful and confortable room,60,1,30
Brooklyn Vibe,55,30,364
Heart of Bedstuy,100,1,0
Bright 1BR Apartment in the Heart of Williamsburg,125,2,0
Home away from home in Bushwick!,72,3,0
Brooklyn NYC,64,2,94
3BR Townhouse w BBQ - near Subway & Prospect Park,149,2,1
"Large, beautiful and elegant, clean studio舒适洁净的保证",99,2,5
NYC Garden Escape (2 min to subway),225,2,133
The Pop! Art Penthouse: safe/quiet/family-friendly,265,2,147
Times Square 2BD 1st Floor,200,2,140
"Big & quiet studio home, UWS, 2 min. from subway",80,12,0
Charming Harlem studio,111,7,8
Cozy studio at heart of Williamsburg,150,4,0
Private Cozy Room in Uptown Manhattan,55,1,13
Charming private room 10 min from Manhattan,85,3,0
Lower East Side Entire Floor Big Bright & Spacious,400,3,91
Sunny Park View Bedroom in Bushwick,60,8,8
Newly Renovated One Bedroom Apartment,90,1,287
Private Sunny Bedroom Close to Prospect Park,70,3,0
Spacious 1BR w/ backyard in central Williamsburg,220,2,0
"Entire 2 Bdrm Duplex Bushwick Brooklyn, Sleeps 6",120,1,240
Private & Quiet One Bedroom On The Upper East Side,64,2,0
Large bright room off Dekalb L with big garden,40,3,0
Hazel’s Place,70,2,67
Spacious Private bedroom & private bathroom,169,3,69
Spacious bedroom away from home,75,2,230
Lovely two bedroom apartment in Manhattan NYC,139,2,125
Luxe NYC apt w/ balcony + stunning skyline views,300,2,0
Lofted Bed in Queer Co-Living Space for Men,38,1,346
Cozy Serenity Room in Gowanus (Park Slope),40,5,0
*TRANQUILITY Private Room. let the birds sing !*,58,6,288
Cozy Williamsburg/Bushwick Haven,43,1,0
Bright and cosy apartment with private room,60,1,0
Cozy Room in the heart of Bushwick,32,3,90
Clean Modern Furnished Room,55,15,55
Private room in a luxury building,100,3,96
Big studio apt in the heart of Williamsburg,99,4,0
Mother of the Believers,50,1,0
PRIVATE ROOM with OWN BATHROOM in Astoria Apt,47,30,90
TRANQUILITY,67,5,90
"STEPS TO LGA, Near CITIFIELD, JFK MANHATTAN(RM #4)",55,1,352
Modern 2 bedroom apartment in Brooklyn,125,25,172
Cozy Apartment in Upper East Side,190,2,9
Cozy room in Williamsburg!,50,4,0
Light room with view of Manhattan skyline,80,3,65
Spacious Cozy Apt with Private Back Yard and a Cat,150,6,0
Brownstone Diamond in Clinton Hill,99,2,0
Spacious 3-Bedroom Bushwick Duplex,500,5,0
Sanctuary on the Upper West Side of Manhattan,225,6,177
Crown Heights Apartment,41,1,0
Spacious Manhattan Apt minutes from Time Square,140,2,0
"Bright, modern apartment",85,3,0
Private room two blocks from Times Square.,105,1,68
POLISHED BROOKLYN GETAWAY,115,1,0
Crown heights hangout,31,6,0
Sunny Spacious Modern Designer Apartment,120,20,58
"Room available on the Upper East Side, Manhattan",100,2,0
Spacious studio in luxury Manhattan condo,250,2,22
Great shared apartm in the heart of Bushwick,28,30,281
"Spacious queen bedroom, private bath in Brooklyn",150,2,0
NEWLY RENOVATED HOME IN BUSHWICK / Best offer,30,30,365
Great shared house / Bushwick!,30,30,325
纽约森林小丘简约文艺客舍,60,1,125
beautiful studio one step away from Central Park,75,7,3
"1 Private Bedroom, private bathroom, Brooklyn",150,5,0
Spacious Williamsburg Apartment,50,2,0
Gorgeous room in Bed-Stuy/Bushwick,50,10,5
Brownstone 1BR Apt in the heart of Park Slope,160,4,0
Upper East Side Brownstone Beautiful Large 1B!,125,5,0
"West 33rd street, Lux 1bd Serviced Apartment**",239,30,364
Charming 2bedroom Apartment in the Lower East Side,250,4,188
"Bright, Clean & Cozy 1 BR close to all services..",110,4,309
Room with charming private rooftop in Williamsburg,95,3,59
SOHO LOFT: 2000sq ft renovated & centrally located,1000,5,364
Charming Cobble Hill Brownstone with Backyard.,160,3,14
Queen room with balcony,118,2,45
Industrial Bedroom - Bushwick Luxury Building,70,1,17
Little Gem in Brooklyn,125,4,0
LARGE LIGHT FILLED ROOM IN THE HEART OF BAYRIDGE,55,3,0
Comfy Cobble Hill home for your NYC/Brooklyn stay.,130,3,106
FURNISHED BEDROOM IN FIDI LOFT APARTMENT,80,30,339
2 BED Manhattan Condo with Balcony & Laundry,248,2,0
Plant Filled Artist Duplex in Trendy Bushwick,48,4,6
Beautiful 1BR in Brooklyn Heights,150,30,65
Spacious Williamsburg 1BR with designer ammenities,175,3,0
A room with a view,67,3,127
SPACIOUS PRIVATE ROOM IN TRENDY BAY RIDGE BROOKLYN,80,3,363
Private room,45,2,363
Comfortable & Bright Studio in the East Village,180,3,10
"1 Cozy, Sun-filled Private Room",31,7,0
A Bright Brooklyn Apartment With A Private Balcony,98,3,0
"Dean Street, BROOKLYN!!",40,1,0
Gigantic one bedroom in East Williamsburg Brooklyn,100,3,0
Beautiful cozy studio in the heart of Manhattan,200,1,0
Spacious Studio Apartment in Downtown Manhattan,125,2,0
Incredible modern studio with all the amenities,90,3,0
Cozy modern large 1BR apartment in Sunnyside,82,21,0
Garden apartment with private backyard!,100,4,0
Luxury Chelsea penthouse w private terrace & view!,485,3,1
Comfy Crash Pad - 25 mins to Manhattan,43,2,340
The Kipsey - A One Bedroom Apartment,175,2,3
Spacious studio in Harlem New York,200,3,0
East Harlem Haven,108,7,20
Cozy wine-in apartment,80,5,0
Trendy Williamsburg House with Private Studio,100,5,125
Harlem Gem,89,1,0
"Clean, Comfortable Home away from home",95,7,19
Entire 1-Bedroom Greenpoint Apartment,95,3,0
XL Private Room In Brooklyn,46,1,81
Cool & Cosy apt in best part of Williamsburg!,200,3,15
Ultra Luxury & Hip 2 Bed in Williamsburg,148,2,0
Room in Amazingly well-LIT Luxury Loft,120,1,0
Large Furnished Bedroom in Prime Chelsea,120,4,0
Spacious Escape in the Heart of Greenwich Village,130,3,0
Beautiful Spacious 1BR near Central Park,225,5,0
Beautiful apartment in great Harlem neighborhood,125,3,166
Prime UWS location bedroom available!,80,2,0
"Cozy Master Suite, Sunny & Charming Loft w/ a View",90,3,0
Greenpoint Gem With Lovely Patio and Backyard!,55,1,0
Charming duplex in east village with a balcony,500,6,0
Huge Loft Apartment in Bed-Stuy Brooklyn!!!,175,7,0
Huge Room Near Subway in Creative Williamsburg,75,3,0
Room located in the heart of Williamsburg,80,1,17
Super Cute Family Friendly Cozy Loft Suite For 2-4,320,3,93
Spacious Brooklyn Townhouse with Garden,300,2,0
South Brooklyn Artist / Student Studio Retreat,78,1,30
"Large, cozy Studio in Morningside Heights",100,2,0
Fabulous 3-bedroom apartment in trendy Brooklyn.,213,5,0
Unique East Village Duplex in NYC,141,5,0
Cozy 1 bedroom walkup in the heart of Astoria,100,3,0
Charming 1875 Victorian,175,3,357
1 BR near Union Square,225,1,0
"Spacious, Bright & Cozy 1-bedroom in Greenpoint",87,4,0
"Affordable, safe & close to the City",36,10,0
"Beautiful, private 1 BR Apt in Hamilton Heights",78,6,0
Sunny West Village Studio Apartment,199,3,3
Cozy private bedroom - 15 min. subway to Manhattan,50,5,0
Charming 2 BR Walk-up in a Private Victorian House,125,3,0
Private bedroom with private bath bathroom,100,1,23
Oasis,37,3,90
佳源家庭旅馆双床房间,78,1,82
Private Room In Manhattan!,98,2,117
"Immaculate, bright, private lofted room in W-Burg",120,1,0
Dope ass apt,250,1,0
"2017 BUILDING, NEW LOFT, 5 MIN SUB TO MANHATAN",70,1,43
Getaway in Brooklyn,188,7,83
Private bedroom with half bath + private entrance!,75,1,0
Warm and cozy room in Williamsburg,60,2,0
"Sunny Slice of uptown NYC, Private Room, Comfy!",63,3,0
Large Private Bedroom next to Central Park,125,3,0
Charming Apt in the heart of Manhattan,175,7,147
Luxury 8 Bedroom Townhouse in Midtown-Sleeps 16,2200,2,217
Bright Room with a Private Balcony in Williamsburg,95,2,28
Lovely Private Room with Balcony in New York,135,3,70
Fantastic Room near Central Park and Lincoln Cente,126,3,45
Urban Oasis in Sunnyside Gardens,70,2,306
Amazing PRIVATE Bedroom+Bathroom in East Village!,150,2,0
Spacious Williamsburg Artist's Duplex,150,2,13
Spacious Family Friendly Spot Near Central Park,395,3,0
1st floor; 1 bedroom,165,3,0
Williamsburg Home - Plant Jungle,69,2,0
DESIGNER TOWNHOUSE IN HARLEM,850,3,178
Cozy room in Hamilton Hights R2,47,2,49
Garden 1-Bedroom Apartment in Greenpoint,200,3,101
Master Bedroom on Central Park for Christmas!,75,3,0
Private sunny 1 Bedroom Apartment,58,2,0
Chill modern garden apartment in Crown Heights,90,2,45
Cozy room in Hamilton Hights R1,47,2,49
Renovated private apartment close to subway train,95,2,167
Gorgeous 1bd in Trendy Brooklyn!,180,4,0
Modern Whimsical Room,54,4,0
Timeless West Village Townhouse with Garden,400,3,0
"UWS - Cozy, Artsy 1 Bedroom",175,1,176
Wonderful Upper East Side Lux Close to Subway,138,7,0
It's All Yours: Big Beautiful 1 Bedroom in Harlem,110,3,0
"Entire Home for 8 Guests, Fully Equipped",245,3,40
Professionally Decorated 1 BR in Downtown Flushing,95,30,214
Studio Flat in Williamsburg  Ny  2/4 Guest,125,2,83
The BEST LOCATION in Brooklyn,45,1,0
Cozy Williamsburg Room on the Rooftop,100,4,107
Large & Comfortable Financial District Studio,195,2,0
Urban Hang Suite - Entire 1BR w/ Terrace & Doorman,101,2,0
Cozy bedroom / 15 min from Manhattan,49,1,0
Large private room close to subway station,70,1,0
"Cosy 1 bedroom, in a pre war building in Chelsea !",185,7,0
Sunny room in Bushwick loft with skyline views,100,3,170
"Huge, bright one bedroom flat near Prospect Park",100,3,7
"Huge Luxury 1BR, Massive Roof Deck Manhattan View",249,3,17
Bright East Village Apartment!,99,5,0
Bright & Spacious Bedroom in Greenpoint Apartment,60,2,85
CROWN HEIGHTS GUEST HOUSE 2R2L3R3L+B,459,4,87
Private cozy room in E. Flatbush,70,2,264
Beautiful private room in Brooklyn,60,1,85
3.7 MLN usd 2 bedroom LOFT in TriBeCa (5),497,14,0
Sexy Williamsburg Loft Getaway of a Lifetime,130,1,0
Crown Heights Guest House B,59,4,49
Prime Williamsburg. Bright  room steps from train,60,3,42
3.5 MLN usd 2 bedroom LOFT in TriBeCa (4),350,14,181
"Charming, Airy apartment in Trendy  Williamsburg",75,2,0
Beautifully Restored Brownstone w. Chef's Kitchen,160,4,15
Mod 3 Bd - Central Park/Columbus Circle 2 blocks,550,5,7
Adorable Williamsburg apartment,60,10,0
Cozy private apartment in the heart of Bed-Stuy.,100,2,140
Private 1BR w/ Full-sized Bed. Great Location!,100,1,85
East Village True 1 Bedroom Apartment,250,1,0
"Beautiful, bright 1BR in Park Slope, Brooklyn",105,5,0
Subarriendo apartamento enero  febrero 2018,70,1,0
Luxury studio in the heart of Greenpoint!,105,4,3
Large & Private Bedroom in Fort Greene,75,2,0
Coastal Bedroom - Bushwick Luxury Building,75,7,25
"Steps to LGA, near CitiField, JFK,Manhattan (RM#1)",52,1,325
Small Room in the great neighborhood ofPark Slope,42,1,248
Great Loft Space in Bushwick With Private Bedroom,55,8,0
Beautiful 1 bedroom in bedstuy,120,11,189
++A Global Beat hideaway Room in Manhattan,175,2,133
Cozy Light Filled 1 Bedroom,80,3,229
Spacious & Homey Williamsburg 1BR Apartment,220,5,349
Modern/Cozy Brooklyn Apartment,101,3,0
Bunks in the heart of Harlem!,50,13,0
"Light-filled 1BR Brownstone Apartment, Bed Stuy BK",73,45,43
Three Bedroom in Trendy Williamsburg Loft,275,4,5
NEW CHARMING 1BR in Prospect/Lefferts Garden,110,12,6
Lower East Side Chic Apartment,125,3,28
Private bedroom in Manhattan,75,3,0
Plant and Book lovers paradise in Hip Williamsburg,130,3,0
Newly Renovated LES Apartment with Private Balcony,69,5,0
Private Room in Bushwick!,25,1,0
"2 Blocks from Times Square, Centrally Located!",185,1,252
"Cozy and Relaxing, An East Williamsburg Getaway",60,2,23
Spend the holidays in your OWN APT in South Harlem,125,20,0
Bay Ridge Brooklyn House,150,4,0
Amazing View Private Terrace! Wow!,175,1,0
UES Manhattan full service doorman building 2 BR,500,2,85
NEWLY RENOVATED STUDIO APARTMENT IN HARLEM,130,3,89
423 ocean parkway,67,1,143
Vic's Cafe Deluxe,65,1,349
*Boogie Down Private and comfortable stay*,70,2,365
Newly Renovated Brownstone Brooklyn Apartment,130,4,28
Cozy Williamsburg Apartment,92,3,0
"Master room Close to NYU Langone H/Metro N,R line",51,1,130
Brooklyn Large private room  (near Manhattan),45,7,0
Couch in Common Room Bushwick!,20,1,0
(moving out) ENTIRE place READ BEFORE YOU BOOK,43,3,0
"Nice View room Close to NYU Lutheran H/Subway N,R",55,1,140
AMAZING 2 BEDROOM private apt in Williamsburg,175,1,138
Convenient Private and Cozy Environment,45,1,269
Full & Cozy Apartment at Bed-Stuy,70,3,0
2 bed 2 bath in cool east Williamsburg Loft!,150,2,0
Williamsburg Getaway (North 7th and Berry Street),65,1,0
"Private Room & Bath - Modern Bldg, S. W'Burg, BK",140,1,156
Soho Luxury Apartment,200,1,0
Luxury 2 Bed / 2 Bath Apt 3 Blocks to Central Park,195,30,282
SoHo NY Apt Up for Grabs Nov 17- Dec 17,45,25,0
